Game Matchup,Implied Home Odds,Implied Away Odds,Implied Draw Odds,Home Odds,Away Odds,Draw Odds,Home Win Edge,Away Win Edge,Draw Edge,Projected Home Goals,Projected Away Goals,Total Projected Goals,Home Win Probability,Away Win Probability,Draw Probability
Real Madrid vs. Athletic Club,1.71,9.24,3.27,1.54,5.6,4.4,-0.1,-0.39,0.35,1.21,0.34,1.56,58.60%,10.82%,30.58%
Eintracht Frankfurt vs. Union Berlin,1.65,6.31,4.22,2.05,3.75,3.45,0.24,-0.41,-0.18,1.68,0.73,2.42,60.47%,15.86%,23.67%
Almeria vs. Osasuna,1.92,4.6,3.81,2.7,2.65,3.25,0.41,-0.42,-0.15,1.57,0.93,2.5,52.01%,21.73%,26.26%
Liverpool vs. Brighton,1.24,11.78,9.41,1.38,6.75,5.6,0.12,-0.43,-0.4,3.57,1.22,4.79,80.88%,8.49%,10.63%
Metz vs. Monaco,2.51,2.86,3.98,5,1.62,4.2,0.99,-0.43,0.06,1.45,1.34,2.79,39.91%,34.99%,25.10%
Le Havre vs. Montpellier,1.6,5.62,5.03,2.65,2.7,3.35,0.66,-0.52,-0.33,2.2,1.09,3.29,62.31%,17.80%,19.89%
Girona vs. Real Betis,1.33,10.03,6.68,1.71,4.5,4,0.29,-0.55,-0.4,2.53,0.79,3.33,75.05%,9.97%,14.98%
Napoli vs. Atalanta,1.45,7.42,5.62,2.1,3.35,3.65,0.45,-0.55,-0.35,2.31,0.92,3.23,68.75%,13.47%,17.78%
Villarreal vs. Atletico Madrid,1.85,4.95,3.89,3.15,2.15,3.7,0.7,-0.57,-0.05,1.54,0.82,2.36,54.12%,20.20%,25.68%
Borussia M.Gladbach vs. Freiburg,1.44,7.2,6.04,2.25,2.95,3.7,0.57,-0.59,-0.39,2.67,1.16,3.83,69.56%,13.89%,16.55%
Chelsea vs. Burnley,1.18,20.66,9.35,1.31,8.5,6,0.11,-0.59,-0.36,3.15,0.66,3.81,84.47%,4.84%,10.69%
RasenBallsport Leipzig vs. Mainz 05,1.19,17.99,9.62,1.38,7,5.2,0.16,-0.61,-0.46,3.19,0.75,3.94,84.05%,5.56%,10.39%
Lille vs. Lens,1.27,11.43,8.2,2.1,3.5,3.55,0.65,-0.69,-0.57,3.14,1.01,4.15,79.05%,8.75%,12.20%
Bologna vs. Salernitana,1.13,41.15,11.21,1.3,10,5.6,0.15,-0.76,-0.5,2.92,0.34,3.27,88.65%,2.43%,8.92%
Bayer Leverkusen vs. Hoffenheim,1.1,44.05,14.64,1.23,10,7,0.12,-0.77,-0.52,3.39,0.45,3.84,90.90%,2.27%,6.83%
Nottingham Forest vs. Crystal Palace,1.38,16.13,4.65,2.25,3.2,3.45,0.63,-0.8,-0.26,1.68,0.3,1.98,72.30%,6.20%,21.50%
Marseille vs. Paris Saint Germain,1.25,11.06,9.19,3.1,2.15,3.8,1.48,-0.81,-0.59,3.67,1.29,4.97,80.08%,9.04%,10.88%
